Age,EquityLevel
15,0.901
16,0.901
17,0.9
18,0.9
19,0.899
20,0.898
21,0.897
22,0.896
23,0.895
24,0.893
25,0.892
26,0.89
27,0.888
28,0.886
29,0.884
30,0.881
31,0.878
32,0.875
33,0.872
34,0.868
35,0.863
36,0.858
37,0.853
38,0.847
39,0.84
40,0.833
41,0.825
42,0.816
43,0.806
44,0.795
45,0.784
46,0.771
47,0.757
48,0.743
49,0.728
50,0.711
51,0.694
52,0.677
53,0.658
54,0.64
55,0.621
56,0.602
57,0.584
58,0.565
59,0.547
60,0.529
61,0.512
62,0.496
63,0.481
64,0.466
65,0.453
66,0.441
67,0.429
68,0.419
69,0.409
70,0.4
71,0.391596
72,0.383937
73,0.377085
74,0.371011
75,0.36561
76,0.360738
77,0.356237
78,0.351971
79,0.347838
80,0.34377
81,0.339731
82,0.335701
83,0.331675
84,0.32765
85,0.3196
86,0.3196
87,0.3196
88,0.3196
89,0.3196
90,0.3196
91,0.3196
92,0.3196
93,0.3196
94,0.3196
95,0.3196
96,0.3196
97,0.3196
98,0.3196
