Age,Male,Female
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0.0032,0.0023
51,0.0035,0.0025
52,0.0038,0.0028
53,0.0041,0.003
54,0.0045,0.0032
55,0.0049,0.0034
56,0.0052,0.0037
57,0.0055,0.004
58,0.006,0.0042
59,0.0064,0.0046
60,0.0069,0.0049
61,0.0074,0.0054
62,0.008,0.0059
63,0.0086,0.0064
64,0.0094,0.007
65,0.0102,0.0075
66,0.011,0.0082
67,0.012,0.0089
68,0.0131,0.0098
69,0.0143,0.0107
70,0.0156,0.0118
71,0.0172,0.013
72,0.0189,0.0144
73,0.0209,0.0158
74,0.0229,0.0176
75,0.0254,0.0195
76,0.0281,0.0217
77,0.0312,0.0241
78,0.0346,0.0268
79,0.0385,0.0299
80,0.043,0.0334
81,0.0479,0.0372
82,0.0536,0.0417
83,0.0599,0.0466
84,0.0671,0.0523
85,0.0751,0.0586
86,0.0842,0.0657
87,0.0944,0.0738
88,0.1058,0.0827
89,0.1184,0.0928
90,0.1325,0.104
91,0.1475,0.1163
92,0.1632,0.1295
93,0.1793,0.1434
94,0.1957,0.1582
95,0.2123,0.1738
96,0.2301,0.1904
97,0.2486,0.2079
98,0.2676,0.2267
99,0.2872,0.2465
100,0.3066,0.2664
101,0.3271,0.2865
102,0.3474,0.3069
103,0.3674,0.3275
104,0.3872,0.3479
105,0.4063,0.3681
106,0.4248,0.388
107,0.4425,0.4072
108,0.4595,0.4258
109,0.4755,0.4435
110,0.4905,0.4605
111,0.4969,0.4765
112,0.4976,0.4915
113,0.4985,0.4988
114,0.4992,0.4994
115,0.5,0.5
116,0.5,0.5
117,0.5,0.5
118,0.5,0.5
119,0.5,0.5
120,1,1
